jp_name	cn_name	en_name	gender	aliases
白狼	白狼	White Wolf		
エクター	埃克特	Ector	男性	
モース	摩耳斯	Mors		
ケルヌンノス	科尔努诺斯	Cernunnos	男性	
祭神ケルヌンノス	祭神科尔努诺斯	Deity Cernunnos	男性	
セファール	赛法卢	Sefar		
アルビオン	阿尔比恩	Albion		
魔竜ヴォーティガーン	魔龙伏提庚	Demonic Dragon Vortigern	男性	
アグラヴェイン	阿格规文	Agravain	男性	
アトラス	阿特拉斯	Atlas	男性	
豹尾神	豹尾神	Hyobishin		
柴田勝家	柴田胜家	Shibata Katsuie	男性	
ダユー	达尤	Dahut	女性	
ドゥムジ	杜木兹	Dumuzid	男性	
ファースト・レディ	First Lady	First Lady	女性	ファーストレディ,ファースト·レディ
複合神性ゴルゴーン	复合神性戈耳工	Composite Divinity Gorgon	女性	
韓信	韩信	Han Xin	男性	
キングゥ	金固	Kingu	性別不明	
玖賀耳之御笠	玖贺耳之御笠	Kugamimi-no-Mikasa		
ギャラハッド	加拉哈德	Galahad	男性	
巨英雄	巨英雄	Giant Hero	男性	
プルガトリオ	Purgatorio	Purgatorio	男性	
マックスウェルの悪魔	麦克斯韦妖	Maxwell's Demon		
ミノタウロス	弥诺陶洛斯	Minotaur	男性	
明智光秀	明智光秀	Akechi Mitsuhide	男性	
ロンゴミニアド	伦戈米尼亚德	Rhongomyniad		
芹沢鴨	芹泽鸭	Serizawa Kamo	男性	
歳殺神	岁杀神	Saisatsushin		
四元素アイリ	四元素之爱丽	Elemental Irisviel	女性	
シータ	悉多	Sita	女性	
煙酔のハサン	烟醉哈桑	Hassan of the Intoxicating Smoke	男性	
春日局	春日局	Lady Kasuga	女性	
長尾晴景	长尾晴景	Nagao Harukage	男性	
ダーニック・プレストーン・ユグドミレニア	达尼克·普雷斯通·尤格多米雷尼亚	Darnic Prestone Yggdmillennia	男性	ダーニックプレストーンユグドミレニア,ダーニック·プレストーン·ユグドミレニア
ハーゲン	哈根	Hagen	男性	
キャプテン・キッド	基德船长	Captain Kidd	男性	キャプテンキッド,キャプテン·キッド
間桐雁夜	间桐雁夜	Matou Kariya	男性	
間桐臓硯	间桐脏砚	Matou Zouken	男性	マキリ・ゾォルケン
クリスティーヌ	克里斯蒂娜	Christine	女性	
ケイネス・エルメロイ・アーチボルト	肯尼斯·埃尔梅罗·阿奇博尔德	Kayneth El-Melloi Archibald	男性	ケイネスエルメロイアーチボルト,ケイネス·エルメロイ·アーチボルト
綾	绫	Aya		
ランドルフ・カーター	伦道夫·卡特	Randolph Carter	男性	ランドルフカーター,ランドルフ·カーター
リア王	李尔王	King Lear	男性	
ロミオとジュリエット	罗密欧与朱丽叶	Romeo and Juliet		
ラヴィニア・ウェイトリー	拉维尼娅·维特利	Lavinia Whateley	女性	ラヴィニアウェイトリー,ラヴィニア·ウェイトリー
摩玖主大僧正	摩玖主大僧正	High Priest Makuzu	男性	
マクベス	麦克白	Macbeth	男性	
マックスウェル	麦克斯韦	Maxwell	男性	
ムネーモシュネー	谟涅摩叙涅	Mnemosyne	女性	
松平信綱	松平信纲	Matsudaira Nobutsuna	男性	
土田御前	土田御前	Lady Tsuchida	女性	
藤原道長	藤原道长	Fujiwara no Michinaga	男性	
田中新兵衛	田中新兵卫	Tanaka Shinbei	男性	
ウェイバー・ベルベット	韦伯·维尔维特	Waver Velvet	男性	ウェイバーベルベット,ウェイバー·ベルベット
武市瑞山	武市瑞山	Takechi Zuizan	男性	
シドゥリ	西杜丽	Siduri	女性	
鵺	鵺	Nue		
スペース遠坂時臣	宇宙远坂时臣	Space Tohsaka Tokiomi	男性	スペース遠坂時臣
アポロン	阿波罗	Apollo	男性	
アルテミス	阿耳忒弥斯	Artemis	女性	
アフロディーテ	阿佛洛狄忒	Aphrodite	女性	
アレス	阿瑞斯	Ares	男性	
ポセイドン	波塞冬	Poseidon	男性	
ヘファイストス	赫淮斯托斯	Hephaestus	男性	
ヘラ	赫拉	Hera	女性	
ヘスティア	赫斯提亚	Hestia	女性	
アテナ	雅典娜	Athena	女性	
ゼウス	宙斯	Zeus	男性	
シャンシャン	香香	Shan Shan		
オフェリア・ファムルソローネ	奥菲莉娅·法姆索罗涅	Ophelia Phamrsolone	女性	オフェリアファムルソローネ,オフェリア·ファムルソローネ
ベリル・ガット	贝里尔·伽特	Beryl Gut	男性	ベリルガット,ベリル·ガット
百貌ハサン・ちびハサン	百貌哈桑·小哈桑	Hundred Personas Hassan / Little Hassan	女性	百貌ハサンちびハサン,百貌ハサン·ちびハサン
デイビット・ゼム・ヴォイド	戴比特·泽姆·沃伊德	Daybit Sem Void	男性	デイビットゼムヴォイド,デイビット·ゼム·ヴォイド
エキドナ	厄喀德那	Echidna	女性	
ゴルドルフ・ムジーク	戈尔德鲁夫·穆吉克	Goredolf Musik	男性	ゴルドルフムジーク,ゴルドルフ·ムジーク
芥ヒナコ	芥雏子	Hinako Akuta	女性	
キリシュタリア・ヴォーダイム	基尔什塔利亚·沃戴姆	Kirschtaria Wodime	男性	キリシュタリアヴォーダイム,キリシュタリア·ヴォーダイム
カドック・ゼムルプス	卡多克·泽姆露普斯	Kadoc Zemlupus	男性	カドックゼムルプス,カドック·ゼムルプス
ロマニ・アーキマン	罗玛尼·阿其曼	Romani Archaman	男性	ロマニアーキマン,ロマニ·アーキマン
マーブル・マッキントッシュ	玛布尔·玛金托修	Marble Macintosh	女性	マーブルマッキントッシュ,マーブル·マッキントッシュ
スルト	苏鲁特	Surtr	男性	
マリスビリー・アニムスフィア	马里斯比利·阿尼姆斯菲亚	Marisbury Animusphere	男性	マリスビリーアニムスフィア,マリスビリー·アニムスフィア
シオン・エルトナム・ソカリス	希翁·艾尔特纳姆·索卡里斯	Sion Eltnam Sokaris	女性	シオンエルトナムソカリス,シオン·エルトナム·ソカリス
異星の巫女	异星巫女	Priestess of the Alien God	女性	
セレシェイラ・エルロン	塞蕾雪拉·艾尔隆	Cerejeira Elron	女性	セレシェイラエルロン,セレシェイラ·エルロン,セレシェイラ
フォウ	芙芙	Fou		Fou
キャスパリーグ	凯茜·帕鲁格	Cath Palug		Cath Palug,キャス・パリーグ
ムニエル	穆尼尔	Meuniere	男性	
ジングル・アベル・ムニエル	金格尔·阿贝尔·穆尼尔	Jingle Abel Meuniere	男性	ジングルアベルムニエル
ホームズ	福尔摩斯	Holmes	男性	
ダ・ヴィンチ	达·芬奇	Da Vinci	女性	ダヴィンチ
ゴルドルフ	戈尔德鲁夫	Goredolf	男性	
カドック	卡多克	Kadoc	男性	
キャプテン・ネモ	船长·尼莫	Captain Nemo	男性	キャプテンネモ
ネモ・マリーン	尼莫·水兵	Nemo Marine	男性	ネモマリーン
ネモ・プロフェッサー	尼莫·教授	Nemo Professor	性別不明	ネモプロフェッサー
ネモ・エンジン	尼莫·引擎	Nemo Engine	女性	ネモエンジン
ネモ・ナース	尼莫·护士	Nemo Nurse	性別不明	ネモナース
ネモ・ベーカリー	尼莫·烘焙坊	Nemo Bakery	女性	ネモベーカリー
オルガマリー・アニムスフィア	奥尔加玛丽·阿尼姆斯菲亚	Olga Marie Animusphere	女性	オルガマリーアニムスフィア
オルガマリー	奥尔加玛丽	Olga Marie	女性	オルガマリ,オルガマリ一
レフ・ライノール・フラウロス	雷夫·莱诺尔·佛劳洛斯	Lev Lainur Flauros	男性	レフライノールフラウロス
バアル	巴力	Baal		
ゼパル	桀派	Zepar		
フェニクス	菲尼克斯	Phenex		
ラウム	劳姆	Raum		
アンドラス	安托士	Andras		
ナベリウス	纳贝流士	Naberius		
フラウロス	佛劳洛斯	Flauros		
フォルネウス	佛钮司	Forneus		
バルバトス	巴巴妥司	Barbatos		
ハルファス	哈帕斯	Halphas		
アモン	亚蒙	Amon		
サブナック	斯伯纳克	Sabnock		
アンドロマリウス	安杜马利乌士	Andromalius		
ラフム	拉赫穆	Lahmu		
パツシィ	帕茨希	Patxi	男性	
ゲルダ	格尔达	Gerda	女性	グルダ
デイヴィット・ブルーブック	大卫·布鲁布克	David Bluebook	男性	デイヴィットブルーブック,デイヴィット,ブルーブック
オセロトル	奥塞洛特尔	Ocelotl		
クワウテモク	夸乌特莫克	Cuauhtémoc	男性	
オロチ	大蛇	Orochi		大蛇
ソンブレロ	阔边帽	Sombrero		阔边帽
メイオール	马亚尔	Mayall		马亚尔
スパイラル	漩涡	Spiral		漩涡
マゼラン	麦哲伦	Magellan		麦哲伦
曼荼羅	曼荼罗	Mandala		曼荼羅
セイファート	赛弗特	Seyfert		赛弗特
クエーサー	类星体	Quasar		类星体
盈月	盈月	Waxing Moon		盈月
オルガ	奥尔加	Olga	女性	
ペペ	佩佩	Pepe	男性	
ヒナコ	雏子	Hinako	女性	
アズライール	亚兹拉尔	Azrael	男性	
検体:E	检体:E	Specimen E		
アナウンス	广播	Announcement		
ラニ=Ⅻ	拉妮-Ⅻ	Rani XII	女性	ラニXII
アーユス	阿愈丝	Ayus	女性	
神王ラックランド	神王拉克兰	God-King Lackland	男性	
ジョン	约翰	John	男性	
カヴァスⅡ世	卡瓦斯Ⅱ世	Cavall II		カヴァスII世,カヴァスI世,カヴァス11世,カヴァス1世
ラニ=B	拉妮-B	Rani=B	女性	ラニB
Dr.ロマン	Dr.罗曼	Dr. Roman	男性	
藤丸立香	藤丸立香	Ritsuka Fujimaru		ふじまるりつか
カレイドスコープ	宝石翁	Kaleidoscope	男性	
キシュア・ゼルレッチ・シュバインオーグ	基修亚·泽尔里奇·修拜因奥古	Kischur Zelretch Schweinorg	男性	
ドクター	医生	Doctor	男性	
先輩	前辈	Senpai		
オーディン	奥丁	Odin	男性	
ムリアン	缪瑞恩	Muryan	女性	
レッドラ・ビット	瑞德拉·比特	Redra Bit	男性	レッドラビット
アイン	Eins	Eins		
ツヴァイ	Zwei	Zwei		
ドライ	Drei	Drei		
安倍晴明	安倍晴明	Abe-no-Seimei	男性	
言峰綺礼	言峰绮礼	Kotomine Kirei	男性	
シバの女王	示巴女王	Queen of Sheba	女性	
カール大帝	卡尔大帝	Karl der Große	男性	
クリストファー・コロンブス	克里斯托弗·哥伦布	Christopher Columbus	男性	クリストファーコロンブス
ヤン・ユーファン	杨玉环	Yang Yuhuan	女性	ヤンユーファン,楊玉環
岸波白野	岸波白野	Kishinami Hakuno		
ウッドワス	伍德沃斯	Woodwose	男性	
ヴクブ	乌库伯	Vucub	男性	
オクタヴィア	奥克塔维娅	Octavia	女性	
トマリン	托玛琳	Tomalin	女性	
カワタ	川田	Kawata	男性	
カヤン	卡扬	Kayan	男性	
ダストン	达斯顿	Duston	男性	
マーカス	马库斯	Marcus	男性	
チン	陈	Chin	男性	
茅 昂昂	茅 昂昂	Mao Mao Mao	女性	マオマオマオ
シルビア	西尔维亚	Sylvia	女性	
ソリア・ナイワー	索里亚·奈瓦	Soria Naiwa	男性	ソリアナイワー
ハリー・茜沢・アンダーソン	哈利·茜泽·安德森	Harry Akanezawa Anderson	男性	ハリー茜沢アンダーソン
ファヴニール	法納夫	Fafnir		
スタッフ	职员	Staff		
オトタチバナ	弟橘	Ototachibana	女性	
サクラ	樱	Sakura	女性	
フラット	弗拉特	Flat	男性	
マリーンズ	水兵们	Marines		
テペウ	特佩乌	Tepeu	男性	
イシュキック	希基克	Ixquic	女性	
グレイ・リリィ	格蕾·Lily	Gray Lily	女性	クレイリリィ,グレイ・リリィ
アス	阿斯	As	男性	
アスカラポス	阿斯卡拉福斯	Ascalaphus	男性	
アッド	亚德	Add	男性	
トリムマウ	特里姆玛乌	Trimmau	女性	
ガベージ	垃圾	Garbage		
ハデス	哈迪斯	Hades	男性	
ペルセポネ	珀耳塞福涅	Persephone	女性	
オルガ·カルデアス	奥尔加·迦勒底亚斯	Olga Chaldeas	女性	オルガカルデアス
グリム	格里姆	Grimr	男性	
賢人グリム	贤人格里姆	Sage Grimr	男性	
ゴフ	戈夫	Goredolf	男性	
アーシャ	阿夏	Asha	女性	
ハサン・サッバーハ	哈桑·萨巴赫	Hassan-i Sabbah	男性	
シドラ・アズライール	惜德拉·亚兹拉尔	Sidra Azrael	男性	
蒼きアズライール	苍之亚兹拉尔	Azrael the Pale	男性	
シサロット	狮萨洛特	Shisarotto	女性	
シーサー	狮萨	Shisa	女性	
ドゥリー左衛門	杜里左卫门	Duryzaemon	男性	
キジムナー	木基姆纳	Kijimuna	女性	
ナッちゃん	纳酱	Nacchan	女性	
レディ・ロングアーム	Lady Long Arm	Lady Long Arm	女性	
ミス・トールフット	Miss Tall Foot	Miss Tall Foot	女性	
プタ	Prota	Prota	女性	
おみいさん	阿咪姐	Omii san	女性	
ミストレスＣ	Mistress C	Mistress C	女性	
ぐっ様	虞大人	Lady Yu	女性	
メジェド様	梅杰德大人	Great Medjed		
ミ二小町	迷你小町		女性	
ぬらりひょん	滑头鬼		男性	
ヴェルザンディ	薇尔丹蒂	Verdandi	女性	
まーちゃん	御酱	Masu-chan		
小野篁	小野篁	Ono no Takamura	男性	
リンド	琳德	Rindr	女性	
エルン	奥露恩	Örun	女性	
イルス	洁尔诗	Ers	女性	
エリセ	绘里濑	Erice	女性	
ちゃんマス	酱御	Chan-masu		
辈先	辈前	Paisen		
サンチョ	桑丘	Sancho	女性	
リンボ	Limbo	Limbo	性別不明	
ダイダロス	代达罗斯	Daedalus	男性	
ナウクラテー	瑙克拉特	Naucrate	女性	
イカロス	伊卡洛斯	Icarus	男性	
ときこ	時子	Tokiko	女性	
ジャック	杰克	Jack	女性	
エリザ	伊莉莎	Elisa	女性	
テノチティトラン・バニー	特诺奇蒂特兰·兔女郎	Tenochtitlan Bunny	女性	
ゴッホ	梵高	Gogh	女性	
